中文正名,英文名,入藥部位
草大蕺,Beautiful Bush-clover Root or Root-bark,根皮
大紅袍,Hairy Clovershrub Root,根
鐵掃帚,Cunaete Bush-clover Root or Herb,根或全株
胡枝子,Bicolor Bush-clover Root,根
牛大力,Beautiful Millettia Root,根
土降香,Dyer Rosewood Root,根
老虎刺根,Variegated Pterolobium Root,根，枝，葉
一味藥,Szechwan Indigo Root,根
北豆根,Asiatic Moonseed Rhizome,根莖
苦豆根,Foxtail-like Sophora Root,根
山豆根,Tonkin Sophora Root,根
苦參,Lightyellow Sophora Root,根
葛根,Lobed Kudzuvine Root,根
千斤拔,Philippine Flemingia Root,根
甜地丁,Manyflower GueldenstaedtiaRoot,根或帶根全草
蛇藤,Plume Acacia Root and Stem,根及老莖
錦雞兒根,Chinese Peashrub Root,根
甘草,Liquorice RootUral Licorice Root,根及根莖
紅芪,Manyinflorescenced Sweetvetch Root,根
黃芪,Mongolian Milkvetch Root,根
紫草,Redrood Gromwell,根
血三七,Amplexicaule knotweed Rhizome,根莖
草血竭,Paleaceous knotweed Rhizome,根莖
拳參,Bistort Rhizome,根莖
隔山消,Wiford Swallowwort Root Tuber,塊根
白首烏,Auriculate Swallowwort Root Tu-ber,塊根
何首烏,Tuber Fleeceflower Root,塊根
大黃,Rhubarb Sorrel Rhubarb,根及根莖
法羅海,Apaen Cowparsnip Root,根
獨活,Doubleteeth Angelica Root,根
白芷,Taiwan Angelica Root,根
羌活,Incised Notopterygium Rhizomeand Root,根莖及根
槁本,Chinese Ligusticum Rhizome,根莖及根
羊洪膻(羊紅膻),Thellungianae Root or Herb,根或全草
胡蘿蔔,Carrot,根
柴胡,Chinese Thorowax Root,根
隔山香,Lemonfragrant Ostericum Root,根
前胡,Whiteflower Hogfennel Root,根
防風,Divaricate Saposhnikovia,根
明黨參,Medicinal Changium,根
北沙參,Coastal Glehnia Root,根
川芎,Szechwan Lovage Rhizome,塊莖
當歸,Chinese Angelice,根
土人參,Panicled Fameflower Root,根
楓荷梨,Dentiferous Dendropanax RootandStem,根及莖
半楓荷,Heterophyllous Wingseedtree Rootor Stem,根或根莖
七角風,Rosthom Bigginseng Root, 根、葉
刺參,Tall Oplopanax Root,根
刺五加,Manyprinckle Acanthopanax,根及根莖或莖
三七,Sanchi,根
珠子參,Largeleaf Japanese Ginseng,根莖
竹節參,Japanese Ginseng,根
西洋參,American Ginseng,根
人參蘆,Girseng Rhizome,蘆頭
紅參,Red Ginseng,園參蒸制後的乾燥根
人參,Ginseng,根
