DATE,CORESTICKM158SFRBATL
2003-10-01,2.477985905
2003-11-01,1.346114378
2003-12-01,1.914150663
2004-01-01,2.886785396
2004-02-01,2.935202307
2004-03-01,2.634321483
2004-04-01,2.661115712
2004-05-01,1.467904266
2004-06-01,2.796290710
2004-07-01,1.656322464
2004-08-01,1.893028696
2004-09-01,2.230237676
2004-10-01,2.452707827
2004-11-01,2.096112102
2004-12-01,2.065173557
2005-01-01,2.921894816
2005-02-01,2.570066051
2005-03-01,2.154221524
2005-04-01,2.578172734
2005-05-01,2.888140293
2005-06-01,0.905536718
2005-07-01,2.871389992
2005-08-01,1.463404650
2005-09-01,3.069350969
2005-10-01,2.341478625
2005-11-01,3.377709540
2005-12-01,2.521683829
2006-01-01,2.699228640
2006-02-01,3.150435605
2006-03-01,3.131177340
2006-04-01,3.778995714
2006-05-01,4.140601391
2006-06-01,3.896751524
2006-07-01,3.582512127
2006-08-01,3.022849337
2006-09-01,2.917212925
2006-10-01,3.283605276
2006-11-01,1.673256835
2006-12-01,2.227298891
2007-01-01,2.966135996
2007-02-01,3.344065355
2007-03-01,2.503392452
2007-04-01,2.076300660
2007-05-01,1.935032391
2007-06-01,2.055270148
2007-07-01,2.432832964
2007-08-01,2.226686653
2007-09-01,3.096866294
2007-10-01,3.520066171
2007-11-01,3.516226376
2007-12-01,2.904646711
2008-01-01,3.373132352
2008-02-01,1.780161391
2008-03-01,3.372142714
2008-04-01,2.510634989
2008-05-01,2.755315098
2008-06-01,3.783589373
2008-07-01,3.350743916
2008-08-01,3.066390079
2008-09-01,3.002873112
2008-10-01,1.756504305
2008-11-01,1.806751142
2008-12-01,1.045738962
2009-01-01,2.432096926
2009-02-01,1.866540340
2009-03-01,2.098313590
2009-04-01,1.584715018
2009-05-01,1.708595862
2009-06-01,1.387182209
2009-07-01,1.339919077
2009-08-01,1.228948405
2009-09-01,1.144399034
2009-10-01,0.622046467
2009-11-01,0.022202259
2009-12-01,0.489374230
2010-01-01,0.652704502
2010-02-01,0.400453121
2010-03-01,0.616977853
2010-04-01,0.912796700
2010-05-01,0.790892522
2010-06-01,1.205894092
2010-07-01,0.915458814
2010-08-01,0.580297719
2010-09-01,0.807332029
2010-10-01,0.713804692
2010-11-01,1.834201371
2010-12-01,0.622167151
2011-01-01,2.135133824
2011-02-01,2.373229580
2011-03-01,1.362393883
2011-04-01,1.265723926
2011-05-01,1.340040550
2011-06-01,1.658515258
2011-07-01,2.414801425
2011-08-01,3.392555755
2011-09-01,1.641461334
2011-10-01,2.083148661
2011-11-01,1.826392615
2011-12-01,3.105628192
2012-01-01,2.955782737
2012-02-01,1.203588926
2012-03-01,2.640220579
2012-04-01,2.090241678
2012-05-01,1.291219097
2012-06-01,2.269673869
2012-07-01,2.666401569
2012-08-01,2.308388783
2012-09-01,2.216891316
2012-10-01,1.929048337
2012-11-01,1.693971451
2012-12-01,2.066273990
2013-01-01,2.455652551
2013-02-01,2.132197545
2013-03-01,2.085594478
2013-04-01,0.134242526
2013-05-01,0.962177280
2013-06-01,1.894859921
2013-07-01,2.560731811
2013-08-01,2.868311164
2013-09-01,1.930880156
2013-10-01,1.669114375
2013-11-01,1.986093125
2013-12-01,1.803335589
2014-01-01,1.861292245
2014-02-01,1.740166787
2014-03-01,2.467432226
2014-04-01,2.572031253
2014-05-01,2.193018784
2014-06-01,2.075933815
2014-07-01,2.049401876
2014-08-01,1.208563293
2014-09-01,1.829442845
2014-10-01,2.292705174
2014-11-01,1.966179094
2014-12-01,1.405898646
2015-01-01,1.95579589
2015-02-01,1.722612732
2015-03-01,2.626825163
2015-04-01,3.454683612
2015-05-01,2.128404965
2015-06-01,2.682383585
2015-07-01,2.3992255
2015-08-01,1.775039326
2015-09-01,3.056767727
2015-10-01,3.087117942
2015-11-01,2.808475537
2015-12-01,1.639268876
2016-01-01,2.480563118
2016-02-01,2.392603324
2016-03-01,2.378624462
2016-04-01,3.312409407
2016-05-01,2.852179489
2016-06-01,2.389905512
2016-07-01,2.658042654
2016-08-01,3.543479359
2016-09-01,2.141496027
2016-10-01,1.57290667
2016-11-01,3.164264084
2016-12-01,2.581857783
2017-01-01,2.915857678
2017-02-01,2.459088161
2017-03-01,-0.141508138
2017-04-01,0.925623839
2017-05-01,1.644019255
2017-06-01,2.305080338
2017-07-01,2.867695409
2017-08-01,2.843067965
2017-09-01,2.260487174
2017-10-01,2.607042205
2017-11-01,2.031554452
2017-12-01,2.687547493
2018-01-01,3.442057254
2018-02-01,2.030454362
2018-03-01,2.569451932
2018-04-01,2.459947081
2018-05-01,2.334124479
2018-06-01,2.493818293
2018-07-01,2.74350509
2018-08-01,1.637076463
2018-09-01,2.785337804
2018-10-01,1.976318922
2018-11-01,2.482649476
2018-12-01,2.441751589
2019-01-01,2.526897953
